origin_id,dest_id,origin_lat,origin_long,dest_lat,dest_long,unidad,tipo_unidad,real_start,real_end,real_minutes,calculated_minutes,calculated_kms,carga
35598,35596,25.8813,-100.2399,19.8885,-99.2431,20652,Thorton,2021-02-03 15:36:00,2021-02-04 09:10:00,1054,1054.4,869.16,1
35601,35596,25.5021,-100.9677,19.8885,-99.2431,37550,Thorton,2021-02-03 18:28:00,2021-02-04 10:40:00,972,972.8000000000001,794.79,1
34231,38045,19.7091,-99.2037,14.9064,-92.2715,17519,Thorton,2021-02-03 16:34:00,2021-02-04 14:59:00,1345,1345.6000000000001,1117.0,1
35599,36889,20.3687,-100.7933,27.479,-99.6252,44821,Thorton,2021-02-03 18:15:00,2021-02-04 13:46:00,1171,1171.2,966.48,1
35248,35449,19.6115,-99.2182,31.7395,-106.4293,44794,Thorton,2021-02-03 18:06:00,2021-02-05 06:23:00,2177,2177.6,1776.51,1
34577,34593,24.943,-98.6446,21.0251,-101.2579,44792,Thorton,2021-02-03 18:11:00,2021-02-04 10:09:00,958,958.4000000000001,705.88,1
35248,35465,19.6115,-99.2182,24.8235,-107.3713,19808,Thorton,2021-02-03 18:11:00,2021-02-04 17:19:00,1388,1388.8000000000002,1204.97,1
35596,35597,19.8885,-99.2431,20.721,-103.4845,41590,Thorton,2021-02-03 18:14:00,2021-02-04 03:54:00,580,580.8000000000001,516.13,1
35599,35598,20.3687,-100.7933,25.8813,-100.2399,33273,Thorton,2021-02-03 18:21:00,2021-02-04 10:21:00,960,960.0,778.63,1
35599,35598,20.3687,-100.7933,25.8813,-100.2399,21176,Thorton,2021-02-03 19:43:00,2021-02-04 11:43:00,960,960.0,778.63,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,22941,Thorton,2021-02-03 18:46:00,2021-02-04 00:17:00,331,331.20000000000005,285.36,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,29397,Thorton,2021-02-03 20:00:00,2021-02-04 01:31:00,331,331.20000000000005,285.36,1
35029,34656,25.6488,-100.3031,17.6019,-100.0958,25143,Thorton,2021-02-03 18:47:00,2021-02-04 21:47:00,1620,1620.8000000000002,1224.39,1
35540,34619,19.0975,-104.2835,19.0891,-98.1941,39088,Thorton,2021-02-03 19:24:00,2021-02-04 12:36:00,1032,1032.0,874.72,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,44820,Thorton,2021-02-03 20:00:00,2021-02-04 01:31:00,331,331.20000000000005,285.36,1
34657,34666,21.9911,-103.2344,19.04,-98.193,44801,Thorton,2021-02-03 20:05:00,2021-02-04 12:22:00,977,977.6,753.08,1
35602,35596,22.0765,-100.8912,19.8885,-99.2431,21037,Thorton,2021-02-03 20:14:00,2021-02-04 03:16:00,422,422.40000000000003,347.49,1
38082,34619,27.4335,-99.5556,19.0891,-98.1941,44812,Thorton,2021-02-03 20:24:00,2021-02-04 20:24:00,1440,1440.0,1219.75,1
35248,35409,19.6115,-99.2182,25.7014,-100.2579,19947,Thorton,2021-02-03 20:26:00,2021-02-04 14:24:00,1078,1078.4,881.9,1
35602,35597,22.0765,-100.8912,20.721,-103.4845,41187,Thorton,2021-02-03 20:30:00,2021-02-04 03:46:00,436,436.8,362.87,1
35601,35596,25.5021,-100.9677,19.8885,-99.2431,25575,Thorton,2021-02-03 20:32:00,2021-02-04 12:44:00,972,972.8000000000001,794.79,1
35602,35596,22.0765,-100.8912,19.8885,-99.2431,38594,Thorton,2021-02-03 21:02:00,2021-02-04 04:04:00,422,422.40000000000003,347.49,1
